sys.exec.out.time {s},dyn.organs.Cli {--},dyn.organs.Clu {--},dyn.organs.Cm {--},dyn.organs.dC_liver_dt {--},dyn.organs.dC_lung_dt {--},dyn.organs.dC_tissue_dt {--}
0,0,0,35,0,100.716432347697,-10.0243151083657
0.01,0.000675110667618257,0.990601538927944,34.9008584134231,0.135022133523651,97.4038754378915,-9.8040022070155
0.02,0.0026513725832893,1.94950850262954,34.8038511751429,0.262703601591524,94.3252153728726,-9.59397905645031
0.03,0.00588270151921983,2.87834758344519,34.7089136625016,0.38590468823562,91.3941403851168,-9.39023958314502
0.04,0.0103251659892606,3.77849878647321,34.6159842485351,0.504820556788256,88.5906765483402,-9.19251261790491
0.05,0.0159367104718954,4.65116853794583,34.5250039115327,0.619624868175956,85.9003513225952,-9.00055729191458
0.06,0.022676953932935,5.49743553640334,34.4359159512006,0.730474939122904,83.3122529790636,-8.81415573602107
0.07,0.0305070370962629,6.31828084350254,34.3486657738178,0.837515272102873,80.8178676514221,-8.63310808605387
0.08,0.0393895025654382,7.11460839948291,34.2632007238728,0.940880036734289,78.4103519917976,-8.45722897292545
0.09,0.0492881978582179,7.88725947603588,34.1794699481065,1.04069485936643,76.0840614640125,-8.28634499219371
0.1,0.0601681949099018,8.63702315394439,34.0974242828403,1.13707814499813,73.834234718229,-8.12029283565065
0.11,0.0719957217333119,9.36464411440812,34.0170161584839,1.23014207567893,71.6567765692081,-7.95891788081801
0.12,0.0847381032695902,10.0708285666709,33.9381995170258,1.31999338027147,69.5481051454868,-7.80207310401897
0.13,0.0983637093400701,10.7562488522831,33.8609297395489,1.40673393941127,67.5050419063149,-7.64961822665682
0.14,0.112841908194717,11.4215470900071,33.785163581642,1.49046126950158,65.5247309665949,-7.50141903265007
0.15,0.128143024552782,12.0673381121524,33.7108591151455,1.57126891642134,63.6045788784316,-7.35734681360466
0.16,0.144238301310668,12.6942118686255,33.637975675063,1.64924678079145,61.7422089596122,-7.21727791080851
0.17,0.16109986429071,13.3027354248671,33.5664738107538,1.72448139060609,59.9354261425216,-7.0810933316808
0.18,0.178700689548302,13.893454645476,33.496315240723,1.79705613283602,58.1821895492666,-6.94867842425215
0.19,0.197014572860434,14.4668956313105,33.427462810477,1.86705145264488,56.480590821283,-6.81992259744975
