sys.exec.out.time {s},dyn.organs.Cli {--},dyn.organs.Clu {--},dyn.organs.Cm {--},dyn.organs.dC_liver_dt {--},dyn.organs.dC_lung_dt {--},dyn.organs.dC_tissue_dt {--}
0,0,0,35,0,103.483409033472,-9.94588678963395
0.01,0.000675331629205544,1.01738329271218,34.9016335548393,0.135066325841109,99.9932495089646,-9.7274022425098
0.02,0.00265044698301951,2.00148498389943,34.8053821583991,0.262521823093197,96.7707901801789,-9.51935883681863
0.03,0.00587782914200972,2.95417617997869,34.7111806181649,0.385370981031761,93.7158252044975,-9.31763513521705
0.04,0.0103123516042695,3.87701083379651,34.6189670105112,0.503827395012797,90.8030761168555,-9.12193982922134
0.05,0.0159109368607203,4.77132493428109,34.5286822040898,0.618078759237092,88.0146093834426,-8.9320177051783
0.06,0.0226323130160093,5.63829734935349,34.440269520787,0.728293387860687,85.3371559902111,-8.74764049872683
0.07,0.0304368326793698,6.4789890259137,34.3536744840069,0.834624627374262,82.7605374681099,-8.56860070994348
0.08,0.0392863331414642,7.29436929815128,34.2688446248214,0.937213923224479,80.2766981400996,-8.3947073073607
0.09,0.0491440249426838,8.08533416752799,34.1857293278874,1.03619300746103,77.8790865686527,-8.22578266532416
0.1,0.0599744005927632,8.85271939228676,34.1042797055721,1.13168549806281,75.5622468511335,-8.06166032661872
0.11,0.071743157996624,9.5973101119374,34.0244484926463,1.223808095073,73.3215406809332,-7.9021833305128
0.12,0.0844171348824213,10.3198480933744,33.9461899563534,1.31267149425099,71.1529534993722,-7.7472029368359
0.13,0.0979642516472018,11.0210373041575,33.8694598182296,1.39838109873814,69.0529562342867,-7.5965776331577
0.14,0.112353460775573,11.7015482834223,33.7942151850912,1.48103758356347,67.0184046889537,-7.45017234816879
0.15,0.12755470148806,12.3620216316274,33.7204144873059,1.56073735106749,65.0464649917121,-7.30785781786543
0.16,0.143538858622884,13.0030708430955,33.6480174229533,1.63757290417068,63.1345574385642,-7.16951006678679
0.17,0.160277724999898,13.6252846404751,33.5769849068217,1.71163315684533,61.2803135470922,-7.03500997716825
0.18,0.177743966691503,14.229228926127,33.5072790234377,1.78300369592227,59.4815427523846,-6.90424292620521
0.19,0.195911090753865,14.8154484348512,33.4388629835017,1.85176700469516,57.7362062432478,-6.77709847676651
0.2,0.214753415067032,15.3844681507993,33.3717010832382,1.91800265616952,56.042396157263,-6.65347011056241
0.21,0.23424604000405,15.9367945359735,33.3057586662708,1.98178748191457,54.3983188476164,-6.533254995421
0.22,0.254364821703516,16.4729166064944,33.2410020877049,2.04319572109218,52.8022812793305,-6.41635378026532
0.23,0.275086346761875,16.9933068845692,33.1773986801617,2.10229915321255,51.2526798563563,-6.30267041281962
0.24,0.296387908194196,17.4984222479446,33.1149167215537,2.15916721739838,49.7479911557919,-6.19211197614913
0.25,0.31824748253773,17.9887046940017,33.0535254044244,2.21386712035776,48.2867641723733,-6.0845885409519
0.26,0.340643707992737,18.4645820321322,32.9931948067065,2.26646393482175,46.8676137695344,-5.98001303114397
0.27,0.363555863511251,18.9264685153276,32.9338958637731,2.31702068985948,45.4892151024693,-5.87830110075945
0.28,0.38696384875748,19.37476541982,32.8756003416761,2.36559845421702,44.1502988304425,-5.77937102056076
0.29,0.41084816487413,19.8098615799733,32.8182808114807,2.41225641361637,42.8496469748038,-5.68314357304746
0.3,0.435189895997616,20.2321338843322,32.7619106246157,2.45705194278606,41.5860893090849,-5.58954195478426
0.31,0.459970691472277,20.6419477377132,32.7064638891718,2.50004067286229,40.3585001905911,-5.49849168515287
0.32,0.485172748719663,21.0396574933987,32.6519154470852,2.54127655469443,39.1657957607591,-5.40992052078103
0.33,0.510778796723916,21.4256068588391,32.5982408521542,2.58081191850293,38.0069314555149,-5.32375837502098
0.34,0.536772080098475,21.8001292777312,32.5454163488395,2.61869753026866,36.880899777843,-5.23993724194711
0.35,0.56313634370285,22.1635482909059,32.493418851806,2.65498264517586,35.7867282934794,-5.15839112442175
0.36,0.589855817781258,22.5161778780995,32.4422259261654,2.6897150583846,34.7234778175704,-5.07905596584304
0.37,0.616915203597484,22.8583227823913,32.3918157683873,2.72294115336984,33.6902407656981,-5.00186958524302
0.38,0.644299659542572,23.1902788188428,32.3421671878432,2.75470594803265,32.6861396471534,-4.92677161544866
0.39,0.671994787693874,23.512333168671,32.2932595889562,2.78505313876214,31.710325681972,-4.85370344405581
0.4,0.699986620805701,23.8247646601194,32.2450729539289,2.81402514260441,30.7619775262069,-4.78260815699781
0.41,0.728261609713259,24.1278440370444,32.1975878260235,2.8416631376761,29.8403000923365,-4.71343048451642
0.42,0.75680661113289,24.4218342161148,32.1507852933715,2.86800710194379,28.9445234537028,-4.64611674936573
0.43,0.785608875842778,24.70699053342,32.1046469732925,2.8930958504773,28.0739018235206,-4.58061481709814
0.44,0.814656037229295,24.9835609811907,32.0591549970988,2.91696707127309,27.2277126003717,-4.5168740482984
0.45,0.843936100185109,25.2517864352662,32.0142919953708,2.93965735973402,26.4052554732353,-4.4548452526453
0.46,0.873437430345968,25.5119008738723,31.9700410836823,2.96120225188312,25.6058515800639,-4.39448064469284
0.47,0.903148743653833,25.764131588222,31.9263858487603,2.98163625638177,24.8288427147178,-4.33573380127309
0.48,0.933059096234715,26.0086993853979,31.8833103350639,3.00099288541591,24.0735905777465,-4.278559620432
0.49,0.963157874580154,26.2458187839392,31.8407990317661,3.01930468450857,23.3394760670819,-4.22291428181753
