sys.exec.out.time {s},dyn.organs.Cli {--},dyn.organs.Clu {--},dyn.organs.Cm {--},dyn.organs.dC_liver_dt {--},dyn.organs.dC_lung_dt {--},dyn.organs.dC_tissue_dt {--}
0,0,0,35,0,102.021276595745,-9.98958333333333
0.01,0.000666900486486323,1.00357486896306,34.9011860351421,0.133380097297265,98.6936971968676,-9.77320963824663
0.02,0.00261939308640916,1.97532608358106,34.8044688847483,0.259548191546893,95.6045171534238,-9.56684795843663
0.03,0.00581224658540967,2.9169169370501,34.7097857359544,0.381321313900797,92.6655653677036,-9.36659038483648
0.04,0.0102023681374624,3.82974839067673,34.6170767247147,0.498892374221156,89.8557230904815,-9.1721713599512
0.05,0.0157485179981194,4.71503846845031,34.5262845365249,0.61243231717741,87.1598129906289,-8.98335603450635
0.06,0.0224111035702784,5.57387164955841,34.4373541185697,0.722095498957799,84.5664762355981,-8.79993271584547
0.07,0.0301520244303084,6.40723106199334,34.3502324634704,0.828023349944688,82.0669096096979,-8.62170772537778
0.08,0.0389345514968311,7.21602030092692,34.2648684409677,0.930346937615255,79.6540805815896,-8.44850180144127
0.09,0.048723229882086,8.00107871746209,34.1812126628406,1.02918880668172,77.3222209772603,-8.28014751761261
0.1,0.0594837986796807,8.7631924480735,34.0992173715846,1.12466433250895,75.0664897782998,-8.11648738472536
0.11,0.071183123195606,9.50310257881115,34.0188363465377,1.21688273905161,72.882742229722,-7.95737242406938
0.12,0.0837891365451413,10.2215113296955,33.940024823132,1.30594788050265,70.7673678297381,-7.80266107240787
0.13,0.0972707884554525,10.9190868384244,33.8627394222375,1.39195885316737,68.7171741550696,-7.65221832537441
0.14,0.111597999723985,11.5964669320583,33.7869380874218,1.47501048309697,66.7293019140087,-7.50591505529323
0.15,0.12674162119859,12.2542621535554,33.7125800285339,1.55519372125479,64.8011617274393,-7.36362745880039
0.16,0.14267339643472,12.8930582301745,33.6396256704267,1.63259596877925,62.9303863166103,-7.22523660258021
0.17,0.159365927390264,13.5134181172292,33.5680366059202,1.70730134862977,61.114793803912,-7.09062804434921
0.18,0.176792642666716,14.115883714061,33.4977755523154,1.77939093554698,59.352359155234,-6.95969151233603
0.19,0.194927767913879,14.7009773235987,33.4288063109241,1.84894295318989,57.6411916724695,-6.83232063081508
0.2,0.213746298096006,15.2692029088152,33.3610937291872,1.91603294511775,55.9795170411841,-6.70841268233343
0.21,0.233223971378069,15.8210471864177,33.2946036650466,1.98073392469284,54.365662849562,-6.58786839950521
0.22,0.253337244437158,16.3569805886467,33.2293029532945,2.04311650781203,52.7980467824808,-6.47059178088746
0.23,0.274063269039757,16.8774581170844,33.165159373678,2.10324903150664,51.2751668988191,-6.35648992667087
0.24,0.295379869753488,17.3829201071572,33.1021416205749,2.16119766079794,49.795593547015,-6.24547289083364
0.25,0.317265522683793,17.8737929180844,33.0402192740864,2.21702648570079,48.3579625808409,-6.13745354710195
0.26,0.339699335143458,18.350489560022,32.9793627724183,2.2707976098884,46.9609696161007,-6.03234746659231
0.27,0.362661026176777,18.8134102678432,32.9195433854409,2.32257123223837,45.6033651275423,-5.93007280542306
0.28,0.386130907871442,19.262943029198,32.8607331893342,2.37240572225087,44.2839502292981,-5.83055020090307
0.29,0.4100898674004,19.6994640730937,32.802905042237,2.42035769015076,43.0015730155434,-5.73370267515773
0.3,0.43451934974344,20.1233383241234,32.7460325608299,2.46648205234262,41.755125363597,-5.63945554525261
0.31,0.459401341044463,20.5349198265898,32.6900900977914,2.51083209277439,40.5435401213733,-5.547736339034
0.32,0.4847183525656,20.9345521420647,32.6350527200713,2.55345952067383,39.365788616398,-5.45847471603402
0.33,0.510453405203618,21.3225687233521,32.5808961879345,2.59441452504872,38.2208784355694,-5.37160239289119
0.34,0.53659001453775,21.6992932673636,32.5275969347316,2.63374582628144,37.1078514342869,-5.28705307282169
0.35,0.56311217638114,22.0650400490343,32.4751320473576,2.67150072509951,36.0257819410535,-5.20476237874523
0.36,0.590004352810775,22.4201142380993,32.4234792473637,2.70772514916361,34.9737751296322,-5.12466778972655
0.37,0.617251458652992,22.7648122002941,32.3726168726903,2.74246369748091,33.9509655356345,-5.04670858043988
0.38,0.644838848403668,23.0994217843302,32.3225238599924,2.77575968282397,32.9565156982911,-4.97082576340331
0.39,0.672752303563838,23.424222595818,32.2731797275304,2.8076551723121,31.9896149112962,-4.8969620337622
0.4,0.700978020373016,23.7394862591649,32.2245645586021,2.83819102629278,31.0494780691856,-4.82506171642839
0.41,0.729502597923767,24.0454766683455,32.1766589854921,2.86740693564412,30.1353445978065,-4.7550707154051
0.42,0.758313026642248,24.3424502273394,32.129444173919,2.89534145760551,29.2464774591723,-4.68693646514689
0.43,0.787396677120425,24.6306560809398,32.0829018079596,2.92203205023168,28.3821622224258,-4.62060788382096
0.44,0.816741289286615,24.9103363365592,32.0370140754319,2.94751510555521,27.5417061938288,-4.55603532835019
0.45,0.846334961901785,25.1817262775941,31.9917636537192,2.97182598153387,26.7244375996849,-4.49317055113079
0.46,0.876166142369782,25.4450545688506,31.9471336960201,2.99499903285172,25.9297048169408,-4.43196665832787
0.47,0.906223616850315,25.7005434544872,31.9031078180077,3.01706764063603,25.1568756469077,-4.37237806966158
0.48,0.936496500664141,25.9484089488858,31.8596700848846,3.03806424114697,24.4053366281367,-4.31436047960429
0.49,0.96697422898039,26.1888610208256,31.8168049988191,3.05802035349147,23.6744923849871,-4.25787081991652
0.5,0.997646547776529,26.4221037713032,31.7744974867499,3.07696660640888,22.9637650088464,-4.20286722345513
0.51,1.02850350506187,26.6483356053102,31.7327328885469,3.09493276417176,22.2725934693321,-4.14930898919304
0.52,1.05953544235598,26.8677493978591,31.6914969455163,3.11194775164204,21.6004330531111,-4.0971565483941
0.53,1.0907329864137,27.0805326545215,31.650775789238,3.12803967851981,20.9467548282442,-4.04637143189132
0.54,1.12208704118888,27.2868676667259,31.6105559307262,3.14323586281916,20.3110451321927,-3.99691623842023
0.55,1.1535887800293,27.4869316620435,31.5708242499003,3.15756285360325,19.6928050818237,-3.9487546039625
0.56,1.18522963809537,27.6808969496736,31.5315679853588,3.17104645300874,19.0915501039247,-3.90185117205804
0.57,1.21700130499586,27.8689310613294,31.4927747244449,3.18371173758746,18.5068094848878,-3.8561715650464
0.58,1.24889571763375,28.0511968877077,31.4544323935958,3.19558307899207,17.9381259383566,-3.81168235620086
0.59,1.28090505325584,28.2278528107178,31.4165292489658,3.20668416403017,17.3850551897438,-3.76835104272061
0.6,1.3130217227,28.3990528316343,31.379053867316,3.21703801411053,16.8471655766268,-3.72614601954872
0.61,1.34523836383393,28.5649466953261,31.3419951371617,3.2266670041035,16.3240376641208,-3.68503655398497
0.62,1.37754783517983,28.7256800107094,31.3053422501701,3.23559288063652,15.815263874405,-3.64499276106492
0.63,1.40994320971927,28.8813943675619,31.2690846928002,3.24383677984458,15.3204481296479,-3.60598557967734
0.64,1.44241776887302,29.0322274498274,31.2332122381785,3.25141924459463,14.8392055076393,-3.56798674939432
0.65,1.47496499665069,29.1783131455375,31.1977149382026,3.25836024120172,14.3711619094923,-3.53096878798901
0.66,1.50757857396503,29.3197816534656,31.1625831158667,3.26467917565416,13.9159537388268,-3.49490496961759
0.67,1.54025237310619,29.4567595866272,31.1278073578019,3.27039490936391,13.4732275918892,-3.45976930364287
0.68,1.57298045237123,29.5893700727317,31.0933785070255,3.27552577445785,13.0426399581059,-3.42553651407818
0.69,1.60575705084436,29.7177328516899,31.0592876558924,3.28008958862484,12.6238569305983,-3.39218201963098
0.7,1.63857658332355,29.8419643702723,31.0255261392438,3.28410366953296,12.2165539262235,-3.35968191432662
0.71,1.67143363538923,29.9621778740135,30.9920855277467,3.28758484883044,11.8204154147324,-3.32801294869348
0.72,1.70432295861106,30.0784834964504,30.9589576214186,3.29054948574359,11.4351346566612,-3.29715251149148
0.73,1.73723946588874,30.1909883457813,30.9261344433326,3.29301348028435,11.0604134495991,-3.26707861196666
0.74,1.77017822692304,30.2997965890262,30.8936082334975,3.29499228607944,10.6959618824953,-3.23776986261542
0.75,1.80313446381331,30.4050095337689,30.8613714429078,3.29650092283304,10.3414980976871,-3.20920546244221
0.76,1.83610354677788,30.5067257075557,30.8294167277586,3.29755398843395,9.99674806035112,-3.18136518069562
0.77,1.86908098999383,30.6050409350237,30.7977369438207,3.29816567071833,9.66144533509475,-3.15422934106798
0.78,1.90206244755276,30.7000484128286,30.7663251409723,3.29834975889819,9.33533086942076,-3.12777880634434
0.79,1.93504370952923,30.7918387824401,30.7351745578811,3.29811965466593,9.01815278381206,-3.10199496348706
