sys.exec.out.time {s},dyn.organs.Cli {--},dyn.organs.Clu {--},dyn.organs.Cm {--},dyn.organs.dC_liver_dt {--},dyn.organs.dC_lung_dt {--},dyn.organs.dC_tissue_dt {--}
0,0,0,35,0,104.339043593136,-10.0155312813884
0.01,0.000663731953716033,1.02665784976579,34.9009252627033,0.132746390743207,100.992526360022,-9.79941617795436
0.02,0.0026073940079751,2.02128492399861,34.8039458786997,0.258381492409179,97.8814084305872,-9.59314524171801
0.03,0.00578633089296886,2.98551972180902,34.7090000145169,0.379674879634083,94.9178806291565,-9.39288676916953
0.04,0.01015794587774,3.92073768231975,34.6160286683349,0.496811814942276,92.0810066152116,-9.19838649574936
0.05,0.0156814251772477,4.82813387059624,34.5249752837583,0.609956711285456,89.3559452500993,-9.00941933082411
0.06,0.0223175415637673,5.70877329664033,34.4357854751071,0.719258345479911,86.7316992917905,-8.82578202005504
0.07,0.0300285079368128,6.56362312999406,34.3484068230175,0.824853371937142,84.1998041622845,-8.64728820209795
0.08,0.0387778638350459,7.39357421151368,34.2627887163845,0.926868756262236,81.7535273058872,-8.4737649864863
0.09,0.0485303845049858,8.19945594272683,34.1788822260201,1.0254235065094,79.3873594836113,-8.3050505204202
0.1,0.0592520059290394,8.9820469174101,34.0966400007401,1.12062993634954,77.0966803783744,-8.14099221448707
0.11,0.0709097614755748,9.74208272449919,34.0160161797707,1.21259460871507,74.8775322104869,-7.98144541808634
0.12,0.0834717272338292,10.4802618176009,33.936966317345,1.30141905638635,72.7264624645994,-7.82627240873215
0.13,0.0969069739921617,11.1972500296395,33.8594473166144,1.38720034359679,70.6404120980636,-7.67534160502677
0.14,0.11118552440765,11.8936841167894,33.7834173708327,1.47003151213956,68.6166344315643,-7.52852694210057
0.15,0.12627831431274,12.5701745929688,33.7088359103304,1.55000194207314,66.6526352002573,-7.38570736716187
0.16,0.142157157379027,13.2273080364355,33.6356635541817,1.62719764824143,64.7461274902106,-7.24676642530327
0.17,0.158794712551275,13.8656489970651,33.5638620657402,1.70170152781706,62.8949973345274,-7.11159191416697
0.18,0.176164453803096,14.4857415969763,33.4933943114103,1.77359356993984,61.097277067877,-6.98007559189285
0.19,0.194240641866395,15.0881108923372,33.4242242221685,1.84295103562733,59.3511244120364,-6.85211292684719
0.2,0.212998297661084,15.6732640467367,33.3563167574471,1.90984861407653,57.6548058527788,-6.72760288052505
0.21,0.232413177207358,16.2416913540383,33.2896378710766,1.97435855999249,56.0066832706608,-6.60644771710607
0.22,0.252461747845057,16.7938671396022,33.2241544790396,2.03655081549656,54.4052030679316,-6.48855283466693
0.23,0.273121165617155,17.3302505621347,33.159834428835,2.09649311936597,52.8488872311228,-6.37382661418013
0.24,0.294369253699561,17.8512863334989,33.0966464702877,2.15425110575805,51.3363259100099,-6.26218028327054
0.25,0.316184481779185,18.3574053701182,33.0345602276665,2.20988839411981,49.8661711958434,-6.15352779233744
0.26,0.338545946297836,18.8490253867964,32.9735461729934,2.26346667163865,48.4371318566295,-6.04778570113506
0.27,0.361433351492001,19.3265514416219,32.9135756004477,2.31504576932379,47.0479688427005,-5.94487307427846
0.28,0.384826991168603,19.7903764389566,32.8546206017798,2.36468373260191,45.6974914173085,-5.84471138443216
0.29,0.40870773116499,20.240881596208,32.7966540426624,2.41243688714808,44.3845537983109,-5.74722442216635
0.3,0.433056992448119,20.6784368790616,32.7396495399179,2.45835990054603,43.1080522208981,-5.65233821164517
0.31,0.457856734813348,21.1034014090341,32.683581439563,2.50250584026956,41.8669223496582,-5.55998093145444
0.32,0.483089441147907,21.5161238465656,32.6284247956259,2.54492622839596,40.6601369824849,-5.47008283999064
0.33,0.508738102227858,21.9169427523412,32.5741553496895,2.58567109339657,39.4867039999206,-5.38257620492519
0.34,0.534786202020645,22.3061869291163,32.5207495111227,2.62478901929645,38.3456645222355,-5.29739523633301
