sys.exec.out.time {s},dyn.organs.Cli {--},dyn.organs.Clu {--},dyn.organs.Cm {--},dyn.organs.dC_liver_dt {--},dyn.organs.dC_lung_dt {--},dyn.organs.dC_tissue_dt {--}
0,0,0,35,0,103.208943354789,-9.86355748866732
0.01,0.000661925012967095,1.01594105840339,34.9024239498354,0.132385002593419,99.9792683258893,-9.651652544247
0.02,0.00260213289607944,2.00086136787664,34.8069038442614,0.257952494870526,96.9561023233214,-9.4491893736958
0.03,0.00577756389628257,2.95619060825223,34.7133800193289,0.37932073328515,94.0641681957834,-9.25254600096605
0.04,0.0101469885696778,3.88316467671277,34.621795321636,0.49665774915961,91.2875904136873,-9.06149216238187
0.05,0.0156707973552588,4.78288068774913,34.5320948168648,0.61011494443058,88.6146775869525,-8.87582061165765
0.06,0.0223108448605713,5.65633197420392,34.4442255742971,0.719830910312544,86.0364806730853,-8.69534181758468
0.07,0.0300303300192679,6.504431340673,34.3581365011362,0.825934061544815,83.54591744175,-8.51988030681945
0.08,0.0387937006879891,7.32802708652079,34.2737782107592,0.928544502963234,81.1372187760384,-8.34927207284546
0.09,0.0485665754549831,8.12791440115431,34.1911029148589,1.02777538611074,78.8055661660625,-8.18336269313472
0.1,0.0593156779289802,8.9048436967991,34.1100643329071,1.12373391883141,76.5468471577726,-8.02200592819542
0.11,0.0710087803160519,9.65952685519267,34.0306176145049,1.21652213332678,74.357485990702,-7.86506265601857
0.12,0.0836146540730715,10.392642016852,33.9527192715499,1.30623748253628,72.2343235518406,-7.71240004490839
0.13,0.0971030260696788,11.104837329003,33.876327118043,1.39297331212156,70.1745305004233,-7.56389089904471
0.14,0.111444539123338,11.7967339343574,33.8014002159575,1.47681924069764,68.1755432090889,-7.41941313145238
0.15,0.126610716069726,12.4689283963058,33.7278988260085,1.55786147126767,66.235015716912,-7.2788493325035
0.16,0.142573926739601,13.1219946987213,33.6557843624475,1.63618305028189,64.3507831240647,-7.14208641115378
0.17,0.159307357362616,13.7564859197562,33.5850193512188,1.71186408625175,62.5208332975266,-7.00901529234839
0.18,0.176784982027051,14.3729356522472,33.5155673909593,1.78498193671334,60.7432847048413,-6.8795306583871
0.19,0.194981535904421,14.9718592245644,33.4473931164403,1.85561137010973,59.0163688287604,-6.75353072512735
0.2,0.213872490007797,15.5537547623533,33.3804621641283,1.92382470756111,57.3384160498455,-6.63091704612568
0.21,0.23343402729797,16.1191041219389,33.3147411396081,1.98969194832442,55.7078441854489,-6.51159433943837
0.22,0.253643019986313,16.6683737190636,33.2501975866564,2.0532808818829,54.1231490857563,-6.39547033299774
0.23,0.27447700791012,17.2020152713713,33.1867999577953,2.11465718896288,52.5828968391245,-6.28245562537316
0.24,0.295914177877231,17.7204664690959,33.1245175861808,2.17388453328999,51.0857172485416,-6.17246355939922
0.25,0.317933343893432,18.2241515854196,33.0633206587068,2.23102464552715,49.6302983212114,-6.0654101066673
0.26,0.340513928199341,18.7134820356731,33.0031801902226,2.28613740055218,48.2153815725719,-5.96121376127098
0.27,0.363635943054214,19.1888568927738,32.9440679987776,2.33928088901234,46.8397579903663,-5.85979544150276
0.28,0.387279973212735,19.6506633649194,32.8859566818165,2.3905114839202,45.5022645378199,-5.76107839843902
0.29,0.411427159047932,20.0992772404636,32.8288195932622,2.439883902919,44.2017811004164,-5.66498813053956
0.3,0.436059180279202,20.5350633040453,32.7726308214281,2.48745126673768,42.9372278003029,-5.57145230353798
0.31,0.461158240269246,20.958375727349,32.7173651677089,2.533265154269,41.7075626174595,-5.48040067501992
0.32,0.486707050857753,21.3695584373295,32.6629981260077,2.57737565463434,40.5117792685523,-5.39176502318256
0.33,0.512688817703092,21.7689454642833,32.6095058628566,2.61983141654256,39.3489053036332,-5.30547907934763
0.34,0.539087226106093,22.1568612717876,32.556865198197,2.66067969520391,38.2180003881589,-5.22147846386422
0.35,0.565886427292498,22.5336210702304,32.5050535867857,2.69996639702236,37.1181547436116,-5.13970062509006
0.36,0.593071025132732,22.8995311154114,32.4540491001991,2.73773612225835,36.0484877246569,-5.06008478118358
0.37,0.62062606327944,23.2548889934898,32.4038304094057,2.77403220582836,35.0081465145173,-4.98257186447488
0.38,0.648537012704842,23.599983893386,32.3543767678845,2.80889675638584,33.9963049232651,-4.90710446821372
0.39,0.676789759621284,23.9350968676066,32.3056679952654,2.84237069381013,33.012162276207,-4.83362679551805
0.4,0.705370593769587,24.2605010823376,32.2576844614701,2.87449378521484,32.0549423815448,-4.76208461036744
0.41,0.734266197060841,24.5764620575577,32.2104070713336,2.90530467957416,31.1238925681506,-4.69242519050403
0.42,0.763463632558228,24.883237897832,32.1638172496887,2.93484094105461,30.2182827856646,-4.62459728211869
0.43,0.792950333786306,25.1810795143791,32.1178969268953,2.96313908113062,29.3374047602524,-4.55855105621316
0.44,0.822714094355898,25.4702308389391,32.0726285247984,2.99023458955406,28.4805712003028,-4.49423806654012
0.45,0.852743057893449,25.7509290299181,32.0279949430995,3.01616196424105,27.6471150471389,-4.43161120903291
0.46,0.88302570826427,26.0234046712395,31.9839795461268,3.04095474013354,26.8363887664703,-4.37062468264458
0.47,0.91355086007968,26.2878819642901,31.9405661499909,3.06464551708759,26.0477636768799,-4.31123395152378
0.48,0.944307649478533,26.544578913317,31.897739010112,3.08726598683635,25.2806293121053,-4.2533957084607
0.49,0.975285525174081,26.7937075045975,31.8554828091073,3.10884695907107,24.5343928142767,-4.19706783954237
0.5,1.00647423975755,27.0354738796825,31.8137826450258,3.12941838668068,23.8084783556166,-4.14220938996111
0.51,1.03786384125018,27.2700785029832,31.7726240199199,3.14900939018692,23.1023265863964,-4.08878053092433
0.52,1.0694446648959,27.4977163239581,31.7319928287427,3.1676482814094,22.4153941071959,-4.03674252761795
0.53,1.10120732518696,27.7185769341323,31.6918753485607,3.18536258639283,21.7471529637285,-3.98605770817859
0.54,1.13314270811549,27.9328447191681,31.6522582280721,3.20217906762596,21.0970901626796,-3.93668943363335
0.55,1.16524196364384,28.14069900619,31.6131284774212,3.21812374558042,20.464707207169,-3.88860206876803
0.56,1.19749649838711,28.342314206555,31.5744734582997,3.23322191959546,19.8495196505854,-3.84176095388775
0.57,1.22989796850151,28.5378599542447,31.5362808743258,3.24749818813321,19.2510566676673,-3.79613237743565
0.58,1.26243827277221,28.7275012400492,31.4985387616943,3.26097646842778,18.6688606418084,-3.75168354943753
0.59,1.29510954589494,28.911398541698,31.4612354800865,3.27368001554987,18.1024867676601,-3.70838257574216
0.6,1.32790415194531,29.0897079500879,31.4243597038357,3.28563144090782,17.5515026681881,-3.66619843302859
0.61,1.36081467803064,29.2625812917497,31.3879004133381,3.29685273020454,17.0154880254102,-3.62510094455316
0.62,1.39383392811864,29.4301662476844,31.3518468867025,3.30736526086917,16.4940342241089,-3.58506075661063
0.63,1.42695491703804,29.5926064686982,31.3161886916328,3.31718981898104,15.9867440078684,-3.54604931568477
0.64,1.46017086464594,29.7500416873555,31.2809156775352,3.32634661570294,15.4932311468373,-3.50803884626517
0.65,1.49347519015724,29.9026078266631,31.246017967844,3.3348553032398,15.013120116663,-3.47100232930797
0.66,1.52686150663137,30.0504371055979,31.2114859525602,3.34273499033821,14.5460457880852,-3.43491348131936
0.67,1.5603236156118,30.1936581415793,31.1773102809957,3.3500042573415,14.0916531267111,-3.39974673404151
0.68,1.5938555019141,30.3323960499875,31.1434818547182,3.35668117081447,13.6495969025299,-3.36547721472147
0.69,1.62745132855802,30.4667725408234,31.1099918206909,3.3627832977515,13.2195414087511,-3.33208072694459
0.7,1.66110543183985,30.5969060125996,31.0768315646001,3.3683277193807,12.8011601895799,-3.29953373201443
0.71,1.69481231654076,30.7229116435527,31.0439927043676,3.37333104457695,12.3941357765664,-3.26781333086218
0.72,1.72856665126751,30.8449014802585,31.0114670838411,3.37780942289556,11.9981594331877,-3.23689724646915
0.73,1.76236326392157,30.9629845237326,30.9792467666574,3.38177855723825,11.612930907341,-3.20676380678639
0.74,1.79619713729327,31.0772668130927,30.9473240302745,3.38525371616251,11.238158191447,-3.17739192813637
0.75,1.83006340477727,31.187851506859,30.9156913601677,3.38824974584503,10.8735572898753,-3.148761099082
0.76,1.86395734620602,31.2948389619621,30.8843414441841,3.39078108170965,10.5188519934236,-3.12085136474895
0.77,1.89787438379789,31.3983268105308,30.8532671670523,3.39286175972967,10.1737736605933,-3.0936433115875
